Topic,Ancestors (or null),Descendants (or null),Synonym (Optional)
Animal Care,Animals,"Dog grooming, Obedience training",
Animals,Biology,"Dogs, Cats, Birds, Fish, Reptiles, Amphibians, Invertebrates, Insects",
Art & Craft,All,"Fiber Arts, Soap making, Woodworking, Instrument building/repair, Visual Art",
Auto care,Automotive,,
Automotive,Mechanical Engineering,"Auto care, Car electrical",
Baking,Food & Drink,,
Beauty & Personal Care, All,"Cosmetology",
Biology, Science & Technology, "Humans, Animals, Plants, Microorganisms",
Brewing,Food & Drink,Kambucha,
Business & Finance, All,Economics,
Business Services,Business & Finance,Notary,
Car electrical,Automotive,,
Cheesemaking,Food & Drink,,
Cooking,Food & Drink,,
Cosmetology,Beauty & Personal Care,Hair care,
Digital Photography,Photography,,
Dog grooming,Animal Care,,
Drywall,Home Improvement,,
Dyeing Hair,Beauty & Personal Care,,
Dyeing Hair,Hair care,,
Economics, Business & Finance,,
Engineering, Science & Technology, "Mechanical Engineering, Electronics, Computer Science, Software Engineering",
Fiber Arts,Art & Craft,Sewing,
Food & Drink,All,"Baking, Brewing, Cheesemaking, Cooking",
Garment making,Sewing,,
Herbology,Plants & Gardening,,
Home & Garden,All,,
Home Electrical,Home Improvement,,
Home Improvement,,"Drywall, Home Electrical, Plumbing, Roofing",
Home Improvement,Home & Garden,,
Instrument building/repair,Art & Craft,,
Kambucha,Brewing,,
Languages,Learning,,
Learning,,Language Learning,
Mixed Media,Visual Art,,
Native plants,Plants & Gardening,,
Notary,Business Services,,
Obedience training,Animal Care,,
Painting,Visual Art,Watercolors,
Personal Growth, All,Learning,
Pet Care, Animals, House Cats,
Photography,Visual Art,Digital Photography,
Plants & Gardening,Plants,"Gardening, Herbology, Native plants, Tree service",
Plumbing,Home Improvement,,
Quilting,Sewing,,
Roofing,Home Improvement,,
Science & Technology, All,,
Sewing,Fiber Arts,"Garment making, Quilting",
Soap making,Art & Craft,,
Tree service,Plants & Gardening,,
Visual Art,Art & Craft,"Mixed Media, Painting, Photography",
Watercolors,Painting,,
Wood carving,Woodworking,,
Woodworking,Art & Craft,Wood carving,